街,街,g,ae,1,上街，街道,,,k,ɛ
的,的,d,ieh,7,目的，的確,,,t,iəʔ
的,的,d,ii,0,我的,,虛詞,t,i
一,一,,ieh,7,專一,,,,iəʔ
是,是,sh,r,6,是非,,,ʂ,ʅ
在,在,c,ae,6,存在,,,tsʰ,ɛ
不,不,b,eh,7,不好,,,p,əʔ
了,了,l,io,3,了解，了結,,,l,iɔ
有,有,,ieu,3,有數,,,,iəɯ
和,和,h,u,2,和平,,,x,ʊ
和,和,h,u,6,附和,,,x,ʊ
和,和,h,v,2,來和（打長牌）,,,x,ʋ
人,人,r,en,2,人民,,,ɻ,əŋ
這,这,zh,a,5,,,,tʂ,a
中,中,zh,on,1,中國,,,tʂ,ɔŋ
中,中,zh,on,5,中風，中獎,,,tʂ,ɔŋ
大,大,d,a,6,大小,,,t,a
大,大,t,ae,6,大王,,,tʰ,ɛ
大,大,t,u,6,大小（小兒子）,,,tʰ,ʊ
大,大,d,a,5,,da6的文讀,,t,a
大,大,t,ae,3,大氣（大方）,da6的又音,,tʰ,ɛ
爲,为,v,ei,2,行爲,,,ʋ,əi
爲,为,v,ei,6,爲何,,,ʋ,əi
上,上,sh,an,6,上海，上頭,,,ʂ,aŋ
個,个,g,u,5,個人,,,k,ʊ
國,国,g,oh,7,國家,,,k,ɔʔ
我,我,ng,u,3,我國,,,ŋ,ʊ
以,以,,i,3,以爲,,,,i
要,要,,io,1,要求,,,,iɔ
要,要,,io,5,需要，重要,,,,iɔ
地,地,t,i,6,地位，地球,,,tʰ,i
如,如,r,v,2,如果，如實,,,ɻ,ʋ
愛,爱,ng,ae,5,熱愛,,,ŋ,ɛ
靜,静,q,ien,6,安靜,,,tɕʰ,iəŋ
寂,寂,q,ieh,8,寂靜,,,tɕʰ,iəʔ
他,他,t,a,1,他人,,,tʰ,a
時,时,sh,r,2,時間,,,ʂ,ʅ
來,来,l,ae,2,來臨,,,l,ɛ
用,用,,ion,6,用處,,,,iɔŋ
生,生,sh,en,1,生活,,,ʂ,əŋ
作,作,z,ah,7,作爲,,,ts,aʔ
結,结,j,ih,7,結婚,,,tɕ,iʔ
就,就,q,ieu,6,就任,,,tɕʰ,iəɯ
分,分,f,en,1,分寸,,,f,əŋ
分,分,f,en,6,分量,,,f,əŋ
於,於,,y,2,由於，姓氏,,,,y
於,于,v,v,1,於菟,,,ʋ,ʋ
對,对,d,uei,5,對錯,,,t,uəi
對,对,d,y,5,,口語音,,t,y
成,成,ch,en,2,成功,,,tʂʰ,əŋ
會,会,h,uei,6,開會,,,x,uəi
會,会,k,uae,5,會計,,,kʰ,uɛ
可,可,k,u,3,可以,,,kʰ,ʊ
可,可,k,eh,7,可汗,,,kʰ,əʔ
主,主,zh,v,3,主要,,,tʂ,ʋ
發,发,f,aeh,7,發達,,,f,ɛʔ
年,年,n,in,2,年齡,,,n,ĩ
動,动,t,on,6,動作,,,tʰ,ɔŋ
同,同,t,on,2,同樣,,,tʰ,ɔŋ
工,工,g,on,1,工作,,,k,ɔŋ
也,也,,ia,3,也許,,,,ia
也,也,,a,3,也是,口語音,,,a
能,能,n,en,2,能力,,,n,əŋ
下,下,h,a,6,下來,xia6的口語音,,x,a
下,下,x,ia,6,下麵,ha6的文讀,,ɕ,ia
過,过,g,u,1,過期,,,k,ʊ
過,过,g,u,5,不好過,,,k,ʊ
子,子,z,z,3,子女,,,ts,ɿ
說,说,sh,uh,7,說話,,,ʂ,ʊʔ
說,说,sh,uei,5,說服,,,ʂ,uəi
產,产,ch,aen,3,生產,,,tʂʰ,ɛ̃
種,种,zh,on,3,種子,,,tʂ,ɔŋ
種,种,zh,on,5,種植,,,tʂ,ɔŋ
行,行,x,ien,2,行走,,,ɕ,iəŋ
行,行,h,an,2,銀行,,,x,aŋ
行,行,x,ien,6,品行,,,ɕ,iəŋ
而,而,,er,2,而且,,,,ɚ
方,方,f,an,1,四方,,,f,aŋ
面,面,m,in,6,方面,,,m,ĩ
後,后,h,eu,6,後來,,,x,əɯ
多,多,d,u,1,多少,,,t,ʊ
定,定,t,ien,6,穩定,,,tʰ,iəŋ
學,学,x,iah,8,學習,,,ɕ,iaʔ
學,学,h,ah,8,學舌,,,x,aʔ
法,法,f,aeh,7,方法,,,f,ɛʔ
所,所,s,u,3,所有,,,s,ʊ
民,民,m,ien,2,人民,,,m,iəŋ
得,得,d,eh,7,得到,,,t,əʔ
經,经,j,ien,1,經濟,,,tɕ,iəŋ
十,十,sh,eh,8,十年,,,ʂ,əʔ
三,三,s,aen,1,三三兩兩,,,s,ɛ̃
之,之,zh,r,1,總之,,,tʂ,ʅ
進,进,j,ien,5,進步,,,tɕ,iəŋ
等,等,d,en,3,等待,,,t,əŋ
部,部,p,v,6,部隊,,,pʰ,ʋ
度,度,t,v,6,溫度,,,tʰ,ʋ
度,度,t,ah,8,猜度,,,tʰ,aʔ
家,家,j,ia,1,家庭,ga1的文讀,,tɕ,ia
家,家,g,a,1,我家,,,k,a
電,电,t,in,6,電力,,,tʰ,ĩ
電,电,d,in,5,,異讀,,t,ĩ
力,力,l,ieh,8,力量,,,l,iəʔ
出,出,ch,ueh,7,出國,,,tʂʰ,uə?
解,解,g,ae,3,解開,,,k,ɛ
解,解,j,iae,3,解放,gae3的文讀,,tɕ,iɛ
解,解,g,ae,5,押解,,,k,ɛ
解,解,j,iae,5,,gae5的文讀,,tɕ,iɛ
解,解,h,ae,6,解州,,姓氏,x,ɛ
問,问,v,en,6,問題,,,ʋ,əŋ
意,意,,i,5,意見,,,,i
建,建,j,in,5,建設,,,tɕ,ĩ
月,月,,iuh,8,正月,,,,iʊ?
公,公,g,on,1,公共,,,k,ɔŋ
無,无,v,v,2,無數,,,ʋ,ʋ
無,无,m,u,2,南無阿彌陀佛,,,m,ʊ
軍,军,j,yen,1,軍隊,,,tɕ,yəŋ
很,很,h,en,3,,,,x,əŋ
情,情,q,ien,2,感情,,,tɕʰ,iəŋ
者,者,zh,ae,3,記者,異讀,,tʂ,ɛ
者,者,zh,a,3,之乎者也,,,tʂ,a
最,最,z,uei,5,最愛,,,ts,uəi
最,最,j,y,5,,口語音,,tɕ,y
立,立,l,ieh,8,立體,,,l,iəʔ
代,代,t,ae,6,代替,,,tʰ,ɛ
想,想,x,ian,3,想象,,,ɕ,iaŋ
已,已,,i,3,已經,,,,i
通,通,t,on,1,通用,,,tʰ,ɔŋ
提,提,t,i,2,提問,,,tʰ,i
直,直,ch,eh,8,直接,,,tʂʰ,əʔ
題,题,t,i,2,題目,,,tʰ,i
黨,党,d,an,3,黨派,,,t,aŋ
程,程,ch,en,2,程度,,,tʂʰ,əŋ
展,展,zh,in,3,開展,,,tʂ,ĩ
五,五,v,v,3,五年,,,ʋ,ʋ
果,果,g,u,3,果然,,,k,ʊ
料,料,l,io,6,材料,,,l,iɔ
象,象,q,ian,6,大象,,,tɕʰ,iaŋ
員,员,,iun,2,員工,,,,iʊ̃
員,员,,yen,2,,,增益,,yəŋ
員,员,,yen,6,,,姓氏,,yəŋ
革,革,g,eh,7,革命,,,k,əʔ
位,位,v,ei,6,座位,,,ʋ,əi
入,入,r,eh,8,入神,,,ɻ,əʔ
常,常,ch,an,2,經常,文讀音,,tʂʰ,aŋ
常,常,sh,an,2,常周（地名），常姓,本土音,,ʂ,aŋ
文,文,v,en,2,文章,,,ʋ,əŋ
文,文,v,en,6,文過飾非,,,ʋ,əŋ
總,总,z,on,3,總之,,,ts,ɔŋ
次,次,c,z,5,名次,,,tsʰ,ɿ
品,品,p,ien,3,品牌,,,pʰ,iəŋ
式,式,sh,eh,7,公式,,,ʂ,əʔ
活,活,h,uh,8,生活,,,x,ʊʔ
活,活,,uh,8,,白讀,,,ʊʔ
活,活,g,uh,7,活活（流水聲）,,,k,ʊʔ
設,设,sh,ih,7,設計,,,ʂ,iʔ
及,及,q,ieh,8,及時,,,tɕʰ,iəʔ
管,管,g,un,3,管理,,,k,ʊ̃
特,特,t,eh,8,特地,,,tʰ,əʔ
特,特,t,i,6,特爲,,,tʰ,i
件,件,q,in,6,條件,,,tɕʰ,ĩ
求,求,q,ieu,2,要求,,,tɕʰ,iəɯ
老,老,l,o,3,老大,,,l,ɔ
頭,头,t,eu,2,頭腦,,,tʰ,əɯ
基,基,j,i,1,基本,,,tɕ,i
資,资,z,z,1,資本,,,ts,ɿ
邊,边,b,in,1,邊界,,,p,ĩ
流,流,l,ieu,2,流氓,,,l,iəɯ
路,路,l,v,6,大路,,,l,ʋ
級,级,j,ieh,7,級別,,,tɕ,iəʔ
少,少,sh,o,3,多少,,,ʂ,ɔ
少,少,sh,o,5,少年,,,ʂ,ɔ
圖,图,t,v,2,圖書,,,tʰ,ʋ
山,山,sh,aen,1,山水,,,ʂ,ɛ̃
統,统,t,on,3,統一,,,tʰ,ɔŋ
接,接,j,ih,7,接待,,,tɕ,iʔ
知,知,zh,r,1,知識,,,tʂ,ʅ
較,较,j,io,5,比較,文讀,,tɕ,iɔ
較,较,g,o,5,,白讀,,k,ɔ
將,将,j,ian,1,將軍,,,tɕ,iaŋ
將,将,j,ian,5,大將,,,tɕ,iaŋ
將,将,q,ian,1,將進酒,,請求,tɕʰ,iaŋ
組,组,z,v,3,組織,,,ts,ʋ
見,见,j,in,5,看見,,,tɕ,ĩ
見,见,x,in,6,,,舉薦，介紹，棺木上的裝飾,ɕ,ĩ
計,计,j,i,5,計算,,,tɕ,i
別,别,p,ih,8,分別，離別,,,pʰ,iʔ
別,别,b,ih,7,別針,,,p,iʔ
她,她,t,a,1,,,代詞,tʰ,a
手,手,sh,eu,3,手足,,,ʂ,əɯ
角,角,g,ah,7,角度,,,k,aʔ
期,期,q,i,1,日期,,,tɕʰ,i
期,期,j,i,1,抓期，期年,,,tɕ,i
期,期,q,i,2,,qi1的本音,,tɕʰ,i
根,根,g,en,1,根本,,,k,əŋ
論,论,l,en,6,議論,,,l,əŋ
論,论,l,en,2,論語,,,l,əŋ
運,运,,yen,6,運動,,,,yəŋ
農,农,n,on,2,農民,,,n,ɔŋ
指,指,zh,r,3,指導,,,tʂ,ʅ
指,指,zh,eh,7,手指頭,,,tʂ,əʔ
幾,几,j,i,1,幾乎,,,tɕ,i
幾,几,j,i,3,幾個,,,tɕ,i
九,九,j,ieu,3,九天,,,tɕ,iəɯ
區,区,q,y,1,地區,,,tɕʰ,y
區,区,ng,eu,1,,,姓氏,ŋ,əɯ
強,强,q,ian,2,強烈,,,tɕʰ,iaŋ
強,强,q,ian,6,倔強,,,tɕʰ,iaŋ
放,放,f,an,5,放學,,,f,aŋ
放,放,f,an,3,,,依據，仿效,f,aŋ
決,决,j,iuh,7,決定,,,tɕ,iʊ?
決,决,x,iuh,7,,,迅速的樣子,ɕ,iʊ?
西,西,x,i,1,西方,,,ɕ,i
被,被,p,i,6,被單，被害,,,pʰ,i
被,被,p,ei,6,被害,又音,,pʰ,əi
做,做,z,u,5,做事,,,ts,ʊ
必,必,b,ieh,7,必要,,,p,iəʔ
戰,战,zh,in,5,戰爭,,,tʂ,ĩ
先,先,x,in,1,先後,,,ɕ,ĩ
則,则,z,eh,7,規則,,,ts,əʔ
任,任,r,en,6,任用,,,ɻ,əŋ
任,任,r,en,2,,,姓氏,ɻ,əŋ
取,取,q,y,3,取得,,,tɕʰ,y
據,据,j,y,5,據說,,,tɕ,y
回,回,h,uei,2,返回,,,x,uəi
回,回,k,uei,2,回子,huei2的又音,,kʰ,uəi
給,给,j,ieh,7,供給,,,tɕ,iəʔ
給,给,g,ei,5,,口語音,本字是“匃、匄”,k,əi
調,调,t,io,2,調節,,,tʰ,iɔ
調,调,d,io,5,音調,,,t,iɔ
調,调,t,io,6,調度，調頭,,,tʰ,iɔ
處,处,ch,v,3,處理,,,tʂʰ,ʋ
處,处,ch,v,5,處所,,,tʂʰ,ʋ
隊,队,d,uei,5,排隊,,,t,uəi
隊,队,d,y,5,,白讀,,t,y
隊,队,t,uei,6,,本音,,tʰ,uəi
南,南,n,un,2,南京,,,n,ʊ̃
南,南,n,a,1,南無阿彌陀佛,,,n,a
色,色,s,eh,7,顏色,,,s,əʔ
光,光,g,uan,1,光亮,,,k,uaŋ
門,门,m,en,2,門口,,,m,əŋ
即,即,j,ieh,7,即刻,,,tɕ,iəʔ
保,保,b,o,3,保安,,,p,ɔ
治,治,ch,r,6,治療,,,tʂʰ,ʅ
北,北,b,oh,7,北方,,,p,ɔʔ
造,造,c,o,6,造化，造就，造福，製造,,,tsʰ,ɔ
造,造,c,o,5,造訪，造詣，登峰造極,,,tsʰ,ɔ
百,百,b,oh,7,百萬,,,p,ɔʔ
規,规,g,uei,1,規矩,,,k,uəi
熱,热,r,ih,8,熱烈,,,ɻ,iʔ
領,领,l,ien,3,領土,,,l,iəŋ
七,七,q,ieh,7,七夕,,,tɕʰ,iəʔ
海,海,h,ae,3,海浪,,,x,ɛ
口,口,k,eu,3,門口,,,kʰ,əɯ
東,东,d,on,1,東南,,,t,ɔŋ
導,导,t,o,6,指導,,,tʰ,ɔ
器,器,q,i,5,機器,,,tɕʰ,i
壓,压,ng,aeh,7,壓力,,,ŋ,ɛʔ
世,世,sh,r,5,世界,,,ʂ,ʅ
金,金,j,ien,1,,,金屬元素,tɕ,iəŋ
增,增,z,en,1,增加,,,ts,əŋ
爭,争,zh,en,1,爭鬥,,,tʂ,əŋ
濟,济,j,i,3,濟南，濟濟一堂,,,tɕ,i
濟,济,j,i,5,經濟,,,tɕ,i
階,阶,g,ae,1,臺階,白讀,,k,ɛ
階,阶,j,iae,1,,文讀,,tɕ,iɛ
油,油,,ieu,2,油條,,,,iəɯ
思,思,s,z,1,思考,,,s,ɿ
思,思,s,z,5,意思,,,s,ɿ
術,术,sh,ueh,8,魔術,,,ʂ,uə?
極,极,q,ieh,8,南極,,,tɕʰ,iəʔ
交,交,j,io,1,交通,,,tɕ,iɔ
交,交,g,o,1,,jio1的白讀,連詞，和,k,ɔ
受,受,sh,eu,6,受理,,,ʂ,əɯ
幹,干,g,un,5,樹幹，幹細胞,,,k,ʊ̃
幹,干,g,aen,5,幹部,異讀,,k,ɛ̃
聯,联,l,in,2,聯係,,,l,ĩ
認,认,r,en,6,認識,,,ɻ,əŋ
六,六,l,oh,8,六月,,,l,ɔʔ
共,共,k,on,6,共同,,,kʰ,ɔŋ
權,权,q,iun,2,權利,,,tɕʰ,iʊ̃
收,收,sh,eu,1,收取,,,ʂ,əɯ
證,证,zh,en,5,證明,,,tʂ,əŋ
改,改,g,ae,3,改革,,,k,ɛ
清,清,q,ien,1,清楚,,,tɕʰ,iəŋ
志,志,zh,r,5,志氣,,,tʂ,ʅ
己,己,j,i,3,自己,,,tɕ,i
美,美,m,ei,3,美麗,,,m,əi
美,美,m,i,3,,又音,,m,i
再,再,z,ae,5,再見,,,ts,ɛ
轉,转,zh,un,3,轉化,,,tʂ,ʊ̃
轉,转,zh,un,5,轉動,,,tʂ,ʊ̃
更,更,g,en,1,五更,,,k,əŋ
更,更,g,en,5,更加,,,k,əŋ
單,单,d,aen,1,單獨,,,t,ɛ̃
單,单,ch,in,2,單于,,,tʂʰ,ĩ
單,单,sh,in,6,,,姓氏,ʂ,ĩ
風,风,f,on,1,颱風,,,f,ɔŋ
切,切,q,ih,7,切割,,,tɕʰ,iʔ
切,切,q,i,5,一切,,,tɕʰ,i
打,打,d,a,3,打擊,,,t,a
白,白,p,oh,8,黑白,,,pʰ,ɔʔ
教,教,j,io,5,教育,,,tɕ,iɔ
教,教,g,o,1,教書,,,k,ɔ
速,速,s,oh,7,速度,,,s,ɔʔ
花,花,h,ua,1,花草,,,x,ua
帶,带,d,ae,5,帶領,,,t,ɛ
安,安,,un,1,安全,,,,ʊ̃
場,场,ch,an,2,場地,,,tʂʰ,aŋ
身,身,sh,en,1,身體,,,ʂ,əŋ
身,身,j,yen,1,身毒，印度古譯名,,,tɕ,yəŋ
車,车,ch,a,1,汽車,,,tʂʰ,a
車,车,j,y,1,車馬炮,,,tɕ,y
例,例,l,i,6,例外,,,l,i
真,真,zh,en,1,真實,,,tʂ,əŋ
務,务,v,v,6,任務,,,ʋ,ʋ
具,具,q,y,6,具體,,,tɕʰ,y
萬,万,v,aen,6,萬千,,,ʋ,ɛ̃
每,每,m,ei,3,每當,,,m,əi
目,目,m,oh,8,目的,,,m,ɔʔ
至,至,zh,r,5,至於,,,tʂ,ʅ
達,达,t,aeh,8,到達,,,tʰ,ɛʔ
達,达,t,aeh,7,挑達,,,tʰ,ɛʔ
走,走,z,eu,3,行走,,,ts,əɯ
積,积,j,ieh,7,面積,,,tɕ,iəʔ
積,积,z,z,5,草積,,,ts,ɿ
示,示,sh,r,6,表示,,,ʂ,ʅ
示,示,ch,r,6,示眾,白讀,,tʂʰ,ʅ
議,议,,i,6,議論,,,,i
